"","evolution","alpha","Vo","Ve","Gradient"
"1",1,86,60,35,1040.23010235291
"2",2,85.8959769897647,59.8959769897647,34.8959769897647,985.87780661457
"3",3,85.7027282697891,59.7027282697891,34.7027282697891,857.688495744242
"4",4,85.4411030850369,59.4411030850369,34.4411030850369,635.815436416618
"5",5,85.1394426232708,59.1394426232708,34.1394426232708,330.000570252693
"6",6,84.8319315460383,58.8319315460383,33.8319315460383,-8.89940804194515
"7",7,84.5529864065609,58.552986406561,33.552986406561,-313.400382472636
"8",8,84.3304863678838,58.3304863678838,33.3304863678838,-537.973467608588
"9",9,84.1818086794485,58.1818086794485,33.1818086794485,-672.957607586818
"10",10,84.113807743731,58.113807743731,33.113807743731,-729.686889720619
"11",11,84.1248955812002,58.1248955812002,33.1248955812002,-720.66961280771
"12",12,84.2070524745779,58.2070524745779,33.2070524745779,-651.056624148907
"13",13,84.3469209099665,58.3469209099665,33.3469209099665,-522.222830058989
"14",14,84.5264234691761,58.526423469176,33.526423469176,-341.342251905384
"15",15,84.7239050232473,58.7239050232472,33.7239050232472,-128.566183916996
"16",16,84.9164698558438,58.9164698558438,33.9164698558438,85.199257529135
"17",17,85.0831839277537,59.0831839277537,34.0831839277537,269.133647397786
"18",18,85.2079803684519,59.2079803684519,34.2079803684519,402.876382473706
"19",19,85.2812574912399,59.2812574912399,34.2812574912399,478.872671562469
"20",20,85.3000524058208,59.3000524058208,34.3000524058208,497.996528469929
"21",21,85.2673561252424,59.2673561252423,34.2673561252423,464.626518602379
"22",22,85.1911398580558,59.1911398580557,34.1911398580557,385.116774726817
"23",23,85.0832713774433,59.0832713774433,34.0832713774433,269.228881865373
"24",24,84.9581881718994,58.9581881718994,33.9581881718994,131.552343993398
"25",25,84.8312072204551,58.8312072204551,33.8312072204551,-9.70516364094493
"26",26,84.7166250710049,58.7166250710049,33.7166250710049,-136.576329409887
"27",27,84.6260129479462,58.6260129479462,33.6260129479462,-235.369909005802
"28",28,84.5670929068634,58.5670929068633,33.5670929068633,-298.459973191771
"29",29,84.5433216667972,58.5433216667971,33.5433216667971,-323.596439394684
"30",30,84.5540494822764,58.5540494822764,33.5540494822764,-312.276852010644
"31",31,84.5950394795635,58.5950394795635,33.5950394795635,-268.667278285516
"32",32,84.6592071049234,58.6592071049234,33.6592071049234,-199.395877981363
"33",33,84.737539231799,58.737539231799,33.737539231799,-113.541065167754
"34",34,84.8201755737726,58.8201755737726,33.8201755737726,-21.9736749904416
"35",35,84.8975720124676,58.8975720124676,33.8975720124676,64.1698668083848
"36",36,84.9615857849992,58.9615857849992,33.9615857849992,135.321306803743
"37",37,85.0063061873226,59.0063061873226,34.0063061873226,184.807792263351
"38",38,85.0285209742106,59.0285209742106,34.0285209742106,209.28661846328
